left_doc_id,right_doc_id,left_doc_length,left_start,right_start,left_end,right_end,score,left_bill_title,right_bill_title,left,right,label
ky_2014RS_HB547,az_51st-1st-regular_SB1450,1121,9,1,19,10,32.5,AN ACT relating to education rights and privacy. Amend KRS 160.705 to direct the Kentucky Board of Education to require the Department of Education and all school district to adhere to transparency and privacy standards for outsourcing Web-based tasks to vendors; describe required contractual agreement requirements; amend KRS 160.710 and KRS 160.720 to conform.,school districts; FERPA violations; penalty,school districts and vendors adhere to the provisions outlined in - the family educational rights and privacy act of,school districts or charter schools to release information that would violate the family educational rights and privacy act of,1
pa_2013-2014_HB2537,ct_2011_HB6599,1253,131,3156,146,3171,32.5,"An Act amending the act of July 17, 1961 (P.L.776, No.341), known as the Pennsylvania Fair Educational Opportunities Act, further providing for findings and declaration of policy, for unfair educational practices, for powers and duties of the commission and for construction.",AN ACT CONCERNING DISCRIMINATION.,"of race, religion, color, ancestry, sexual orientation, gender identity or expression, age, national origin,","of race, - color, religious creed, sex, gender identity or expression, age, national origin,",1
nj_216_S76,la_2014_HB898,10181,267,351,277,361,13,"Changes certain eligibility criteria for TPAF, JRS, PERS, PFRS and SPRS disability benefits; requires Attorney General to establish fraud unit; creates temporary committee to recommend accidental disability standard for systems.",PORTS/SOUTH LOUISIANA:ÊÊIncreases the membership of the Port of South Louisiana Commission,the effective date of the act. [no person who becomes a member of,the territorial jurisdiction of the port - - who is a resident of,2
il_95th_SB1042,mn_2013-2014_HF2301,6495,21,109,30,118,63,CIVIL LAW-TECH,Omnibus lands bill.,"beginning at the northeast corner of the above described lot 402; thence along the easterly line of said lot 402, south 00 degrees 35 minutes 44 - - seconds west 40.00 feet, to the point of beginning; thence north 23 degrees 44 minutes 15 - - seconds west 28.52 feet; thence north 83 degrees 07 minutes 30 seconds west","beginning at the southeast corner of section 6; 14thence north 1 degree 5 minutes west 1,640 feet; thence south 88 degrees 22 minutes 1530 seconds west 400 feet to the point of beginning; thence south 4 degrees 17 minutes 1630 seconds east 150 feet; thence south 88 degrees 22 minutes 30 seconds west",2
nj_216_S76,ri_2014_SB2026,10181,280,1203,287,1210,16,"Changes certain eligibility criteria for TPAF, JRS, PERS, PFRS and SPRS disability benefits; requires Attorney General to establish fraud unit; creates temporary committee to recommend accidental disability standard for systems.",AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT - SELECT COMMISSION TO INVESTIGATE THE FAILURE OF PUBLIC LOAN GUARANTEE PROGRAMS (would establish a select commission to investigate the failure of public loan guarantee programs and prescribes its powers and duties),of his pension shall be reduced to an amount which when added to the,of the commission shall be subject to the penalty for perjury pursuant to the,0
il_95th_SB1155,nm_2011_HB367,16540,748,1240,760,1251,29.5,SCH DISTRICT MANDATES-REMOVE,LIVE WEBCASTING OF PUBLIC MEETINGS,"the date, time and place of the meeting; (2) the members of","the date, time and place of the meeting, - the names of",1
nm_2012_HB270,nj_214_S2413,7618,15,54,18,57,28,STATE EMPLOYEE & TEACHER RETIREMENT CHANGES,Prohibits employees of certain organizations from enrolling in State-administered retirement system or health care plan of public employer.,five or more years of service credit,five or more years of service credit,2
ky_2011 Regular Session_HB288,az_51st-2nd-regular_HB2239,3770,264,3755,288,3777,20,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",board of appraisal,an appraisal management company shall,an appraisal management company shall,1
ok_2011-2012_SB1592,fl_2015_SB710,1008,52,161,59,168,28,Physical therapy; permitting physical therapists to perform wellness services. Effective date.,Physical Therapy,as a physical therapist or physical therapist,as a physical therapist or physical therapist,1
ma_187th_H2092,nj_216_S1682,5109,174,160,180,166,12,An Act relative to mandated benefits,Requires Mandated Health Benefits Advisory Commission to study financial impact of all enacted mandated health benefits.,mandated health benefits,mandated health benefits,1
